file,line,detail
ring_buf.h,270,succeed,task_id,113,predecessor_cnt,3,predecessor_id,9,idx,9
ring_buf.h,270,succeed,task_id,113,predecessor_cnt,4,predecessor_id,11,idx,9
ring_buf.h,227,new,task_id,113, type,1
ring_buf.h,270,succeed,task_id,114,predecessor_cnt,2,predecessor_id,113,idx,0
ring_buf.h,227,new,task_id,114, type,0
ring_buf.h,270,succeed,task_id,115,predecessor_cnt,2,predecessor_id,114,idx,0
ring_buf.h,227,new,task_id,115, type,1
ring_buf.h,270,succeed,task_id,116,predecessor_cnt,2,predecessor_id,113,idx,1
ring_buf.h,270,succeed,task_id,116,predecessor_cnt,3,predecessor_id,115,idx,0
ring_buf.h,227,new,task_id,116, type,0
ring_buf.h,270,succeed,task_id,117,predecessor_cnt,2,predecessor_id,116,idx,0
ring_buf.h,270,succeed,task_id,117,predecessor_cnt,3,predecessor_id,115,idx,1
ring_buf.h,227,new,task_id,117, type,1
ring_buf.h,270,succeed,task_id,118,predecessor_cnt,2,predecessor_id,12,idx,10
ring_buf.h,270,succeed,task_id,118,predecessor_cnt,3,predecessor_id,9,idx,10
ring_buf.h,270,succeed,task_id,118,predecessor_cnt,4,predecessor_id,11,idx,10
ring_buf.h,227,new,task_id,118, type,1
ring_buf.h,270,succeed,task_id,119,predecessor_cnt,2,predecessor_id,118,idx,0
ring_buf.h,227,new,task_id,119, type,0
ring_buf.h,270,succeed,task_id,120,predecessor_cnt,2,predecessor_id,119,idx,0
ring_buf.h,227,new,task_id,120, type,1
ring_buf.h,270,succeed,task_id,121,predecessor_cnt,2,predecessor_id,118,idx,1
ring_buf.h,270,succeed,task_id,121,predecessor_cnt,3,predecessor_id,120,idx,0
ring_buf.h,227,new,task_id,121, type,0
ring_buf.h,270,succeed,task_id,122,predecessor_cnt,2,predecessor_id,121,idx,0
ring_buf.h,270,succeed,task_id,122,predecessor_cnt,3,predecessor_id,120,idx,1
ring_buf.h,227,new,task_id,122, type,1
ring_buf.h,270,succeed,task_id,123,predecessor_cnt,2,predecessor_id,12,idx,11
ring_buf.h,270,succeed,task_id,123,predecessor_cnt,3,predecessor_id,9,idx,11
